 case_id;province;city;group;infection_case;confirmed;latitude;longitude
2000020;Gyeonggi-do;-;FALSE;overseas inflow;305;-;-
2000021;Gyeonggi-do;-;FALSE;contact with patient;63;-;-
2000022;Gyeonggi-do;-;FALSE;etc;84;-;-
3000001;Gangwon-do;from other city;TRUE;Shincheonji Church;17;-;-
3000002;Gangwon-do;from other city;TRUE;Uijeongbu St. Mary’s Hospital;10;-;-
3000003;Gangwon-do;Wonju-si;TRUE;Wonju-si Apartments;4;37.342.762;127.983.815
3000004;Gangwon-do;from other city;TRUE;Richway;4;-;-
3000005;Gangwon-do;from other city;TRUE;Geumcheon-gu rice milling machine manufacture;4;-;-
3000006;Gangwon-do;-;FALSE;overseas inflow;16;-;-
3000007;Gangwon-do;-;FALSE;contact with patient;0;-;-
3000008;Gangwon-do;-;FALSE;etc;7;-;-
4000001;Chungcheongbuk-do;Goesan-gun;TRUE;Goesan-gun Jangyeon-myeon;11;3.682.422;1.279.552
4000002;Chungcheongbuk-do;from other city;TRUE;Itaewon Clubs;9;-;-
4000003;Chungcheongbuk-do;from other city;TRUE;Guro-gu Call Center;2;-;-
4000004;Chungcheongbuk-do;from other city;TRUE;Shincheonji Church;6;-;-
4000005;Chungcheongbuk-do;-;FALSE;overseas inflow;13;-;-
4000006;Chungcheongbuk-do;-;FALSE;contact with patient;8;-;-
4000007;Chungcheongbuk-do;-;FALSE;etc;11;-;-
4100001;Chungcheongnam-do;Cheonan-si;TRUE;gym facility in Cheonan;103;3.681.503;1.271.139
4100002;Chungcheongnam-do;from other city;TRUE;Door-to-door sales in Daejeon;10;-;-
4100003;Chungcheongnam-do;Seosan-si;TRUE;Seosan-si Laboratory;9;37.000.354;126.354.443
4100004;Chungcheongnam-do;from other city;TRUE;Richway;3;-;-
4100005;Chungcheongnam-do;from other city;TRUE;Eunpyeong-Boksagol culture center;3;-;-
4100006;Chungcheongnam-do;-;FALSE;overseas inflow;16;-;-
4100007;Chungcheongnam-do;-;FALSE;contact with patient;2;-;-
4100008;Chungcheongnam-do;-;FALSE;etc;12;-;-
5000001;Jeollabuk-do;from other city;TRUE;Itaewon Clubs;2;-;-
5000002;Jeollabuk-do;from other city;TRUE;Door-to-door sales in Daejeon;3;-;-
5000003;Jeollabuk-do;from other city;TRUE;Shincheonji Church;1;-;-
5000004;Jeollabuk-do;-;FALSE;overseas inflow;12;-;-
5000005;Jeollabuk-do;-;FALSE;etc;5;-;-
5100001;Jeollanam-do;Muan-gun;TRUE;Manmin Central Church;2;35.078.825;126.316.746
5100002;Jeollanam-do;from other city;TRUE;Shincheonji Church;1;-;-
5100003;Jeollanam-do;-;FALSE;overseas inflow;14;-;-
5100004;Jeollanam-do;-;FALSE;contact with patient;4;-;-
5100005;Jeollanam-do;-;FALSE;etc;4;-;-
6000001;Gyeongsangbuk-do;from other city;TRUE;Shincheonji Church;566;-;-
6000002;Gyeongsangbuk-do;Cheongdo-gun;TRUE;Cheongdo Daenam Hospital;119;3.564.887;1.287.368
6000003;Gyeongsangbuk-do;Bonghwa-gun;TRUE;Bonghwa Pureun Nursing Home;68;3.692.757;1.289.099
6000004;Gyeongsangbuk-do;Gyeongsan-si;TRUE;Gyeongsan Seorin Nursing Home;66;35.782.149;128.801.498
6000005;Gyeongsangbuk-do;from other city;TRUE;Pilgrimage to Israel;41;-;-
6000006;Gyeongsangbuk-do;Yechun-gun;TRUE;Yechun-gun;40;36.646.845;128.437.416
6000007;Gyeongsangbuk-do;Chilgok-gun;TRUE;Milal Shelter;36;360.581;1.284.941
6000008;Gyeongsangbuk-do;Gyeongsan-si;TRUE;Gyeongsan Jeil Silver Town;17;3.584.819;1.287.621
6000009;Gyeongsangbuk-do;Gyeongsan-si;TRUE;Gyeongsan Cham Joeun Community Center;16;3.582.558;1.287.373
6000010;Gyeongsangbuk-do;Gumi-si;TRUE;Gumi Elim Church;10;-;-
6000011;Gyeongsangbuk-do;-;FALSE;overseas inflow;22;-;-
6000012;Gyeongsangbuk-do;-;FALSE;contact with patient;190;-;-
6000013;Gyeongsangbuk-do;-;FALSE;etc;133;-;-
6100001;Gyeongsangnam-do;from other city;TRUE;Shincheonji Church;32;-;-
6100002;Gyeongsangnam-do;Geochang-gun;TRUE;Geochang Church;10;3.568.556;1.279.127
6100003;Gyeongsangnam-do;Jinju-si;TRUE;Wings Tower;9;35.164.845;128.126.969
6100004;Gyeongsangnam-do;Geochang-gun;TRUE;Geochang-gun Woongyang-myeon;8;35.805.681;127.917.805
6100005;Gyeongsangnam-do;Changwon-si;TRUE;Hanmaeum Changwon Hospital;7;3.522.115;1.286.866
6100006;Gyeongsangnam-do;Changnyeong-gun;TRUE;Changnyeong Coin Karaoke;7;3.554.127;1.285.008
6100007;Gyeongsangnam-do;Yangsan-si;TRUE;Soso Seowon;3;35.338.811;129.017.508
6100008;Gyeongsangnam-do;from other city;TRUE;Itaewon Clubs;2;-;-
6100009;Gyeongsangnam-do;from other city;TRUE;Onchun Church;2;-;-
6100010;Gyeongsangnam-do;-;FALSE;overseas inflow;26;-;-
6100011;Gyeongsangnam-do;-;FALSE;contact with patient;6;-;-
6100012;Gyeongsangnam-do;-;FALSE;etc;20;-;-
7000001;Jeju-do;-;FALSE;overseas inflow;14;-;-
7000002;Jeju-do;-;FALSE;contact with patient;0;-;-
7000003;Jeju-do;-;FALSE;etc;4;-;-
7000004;Jeju-do;from other city;TRUE;Itaewon Clubs;1;-;-
